date,max_temp,time,min_temp,time,max_humidity,time,min_humidity,time,avg_wind_speed (km/h),avg_wind_direction,rain,max_soil_temp,min_soil_temp,solar_rad
2020-09-07T00:00:00,25.7,2020-09-07T14:30:24,9.4,2020-09-07T05:10:24,85,2020-09-07T05:20:00,41,2020-09-07T11:50:24,14.9,105.1,0,NA,NA,110
2020-09-08T00:00:00,26.6,2020-09-08T14:49:36,8.3,2020-09-08T04:50:08,88,2020-09-08T04:59:44,31,2020-09-08T15:20:32,11.2,120,0,NA,NA,112
2020-09-09T00:00:00,26.9,2020-09-09T15:00:16,5.8,2020-09-09T06:10:08,93,2020-09-09T04:20:16,26,2020-09-09T16:00:00,8.5,127.3,0,NA,NA,120
2020-09-10T00:00:00,19.8,2020-09-10T11:00:16,7.7,2020-09-10T04:40:32,85,2020-09-10T05:49:52,59,2020-09-10T15:20:32,19.7,142.5,0,NA,NA,80
2020-09-11T00:00:00,21.3,2020-09-11T15:20:32,8.9,2020-09-11T23:39:44,81,2020-09-11T23:50:24,46,2020-09-11T15:00:16,23.9,137.1,0,NA,NA,100
2020-09-12T00:00:00,24.2,2020-09-12T15:20:32,6.5,2020-09-12T05:49:52,92,2020-09-12T06:10:08,35,2020-09-12T14:40:00,12.1,115.4,0,NA,NA,140
2020-09-13T00:00:00,27.3,2020-09-13T15:00:16,4.5,2020-09-13T06:10:08,92,2020-09-13T05:10:24,29,2020-09-13T15:30:08,6.5,130.1,0,NA,NA,143
2020-09-14T00:00:00,27.6,2020-09-14T15:09:52,8,2020-09-14T05:29:36,94,2020-09-14T05:49:52,27,2020-09-14T15:39:44,8.1,155.3,0,NA,NA,148
2020-09-15T00:00:00,27,2020-09-15T14:49:36,9.5,2020-09-15T04:40:32,89,2020-09-15T06:02:40,30,2020-09-15T15:30:08,11.5,108.8,0,37,19.9,145
2020-09-16T00:00:00,27.4,2020-09-16T15:09:52,6.7,2020-09-16T05:20:00,90,2020-09-16T03:30:08,33,2020-09-16T15:00:16,9.5,104.1,0,21.3,17.3,135
2020-09-17T00:00:00,28.8,2020-09-17T14:19:44,9.3,2020-09-17T04:09:36,90,2020-09-17T05:10:24,27,2020-09-17T15:30:08,9.2,138.2,0,33.2,17.8,156
2020-09-18T00:00:00,27.4,2020-09-18T12:59:44,9.1,2020-09-18T05:49:52,88,2020-09-18T06:10:08,34,2020-09-18T14:19:44,16.9,103,0,127.9,18.5,149
2020-09-19T00:00:00,24.9,2020-09-19T12:59:44,14.4,2020-09-19T05:49:52,91,2020-09-19T06:02:40,39,2020-09-19T15:00:16,21.8,79.9,0.2,20.6,19,139
2020-09-20T00:00:00,28.9,2020-09-20T15:39:44,12,2020-09-20T06:10:08,92,2020-09-20T05:40:16,41,2020-09-20T15:39:44,10.2,89.9,0,21.8,18.3,132
2020-09-21T00:00:00,33.3,2020-09-21T14:40:00,12.9,2020-09-21T04:59:44,91,2020-09-21T05:20:00,28,2020-09-21T14:40:00,11.5,111,0,23,19.3,144
2020-09-22T00:00:00,29.5,2020-09-22T13:20:00,18.5,2020-09-22T05:29:36,81,2020-09-22T23:50:24,48,2020-09-22T13:20:00,13.7,225.8,0,23.2,20.8,117
2020-09-23T00:00:00,29,2020-09-23T13:20:00,13.8,2020-09-23T05:40:16,88,2020-09-23T04:59:44,20,2020-09-23T14:00:32,8.8,261.3,0,23.6,20.3,178
2020-09-24T00:00:00,25.6,2020-09-24T14:49:36,6.6,2020-09-24T23:50:24,55,2020-09-24T06:02:40,16,2020-09-24T15:39:44,11.4,219.3,0,127.9,15.4,185
2020-09-25T00:00:00,29.9,2020-09-25T15:39:44,3.8,2020-09-25T04:29:52,64,2020-09-25T04:29:52,19,2020-09-25T15:30:08,14.3,230.1,0,21.7,17.6,179
2020-09-26T00:00:00,19.9,2020-09-26T15:50:24,5.7,2020-09-26T23:30:08,63,2020-09-26T05:49:52,22,2020-09-26T16:20:16,19.1,239.8,0,49,18.1,195
2020-09-27T00:00:00,22.7,2020-09-27T15:30:08,-0.6,2020-09-27T05:20:00,74,2020-09-27T03:50:24,20,2020-09-27T14:40:00,9.4,194.4,0,127.9,15.4,198
2020-09-28T00:00:00,26.8,2020-09-28T15:00:16,4.2,2020-09-28T05:20:00,74,2020-09-28T05:40:16,23,2020-09-28T14:49:36,10.1,115.3,0,21.4,15.9,194
2020-09-29T00:00:00,26,2020-09-29T15:00:16,6.5,2020-09-29T05:40:16,88,2020-09-29T05:49:52,28,2020-09-29T15:50:24,10.9,97.5,0,21,17.5,144
2020-09-30T00:00:00,22.5,2020-09-30T14:49:36,7.4,2020-09-30T04:59:44,80,2020-09-30T03:30:08,35,2020-09-30T11:50:24,9.1,99.8,0,19.5,17.4,96
2020-10-01T00:00:00,28.9,2020-10-01T15:30:08,9.5,2020-10-01T05:40:16,81,2020-10-01T05:40:16,35,2020-10-01T15:30:08,9.9,174.6,0,21.8,17.3,171
2020-10-02T00:00:00,32.6,2020-10-02T14:49:36,8.1,2020-10-02T04:59:44,84,2020-10-02T04:59:44,16,2020-10-02T16:20:16,8.5,167,0,23.9,17.8,174
2020-10-03T00:00:00,29.7,2020-10-03T14:19:44,10.9,2020-10-03T05:20:00,88,2020-10-03T05:10:24,25,2020-10-03T14:19:44,14.7,90.1,0,23.5,19.6,181
